API_CID,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,RingCount,FractionCSP3,HeavyAtomCount,fr_NH2,fr_NH1,fr_ester,fr_amide,fr_aldehyde,fr_ketone,fr_phenol,fr_ether,fr_epoxide,fr_halogen,fr_COO
6450551,386.48,4.6391000000000036,70.67,2,4,5,4,4,0.045454545454545456,28,0,2,0,1,0,0,0,0,0,0,0
6450800,827.3299999999998,11.992499999999986,69.62000000000002,1,7,11,3,9,0.5652173913043478,56,0,0,0,0,0,0,0,3,0,3,0
6451150,505.3120000000001,1.0879,154.79999999999998,4,5,4,2,3,0.4375,33,1,0,0,1,0,0,0,0,0,6,0
6456015,532.5690000000003,2.24154,172.06,6,6,10,2,3,0.38461538461538464,38,0,3,0,2,0,0,0,0,0,1,2
6474107,1229.3230000000008,-6.504500000000004,454.67000000000013,17,29,14,0,11,1.0,85,0,0,0,0,0,0,0,12,0,0,0
6842999,287.297,0.6405999999999996,106.02000000000001,0,7,3,1,2,0.5,19,0,0,0,0,0,0,0,0,0,0,0
6850754,398.3170000000001,-3.9043999999999954,201.67,6,11,6,0,2,0.8571428571428571,27,0,0,0,0,0,0,0,5,0,0,2
6917875,401.8460000000001,3.9703000000000026,87.07000000000001,2,4,2,2,4,0.23809523809523808,28,0,0,0,0,0,0,0,1,0,1,2
6918248,390.4090000000001,3.170600000000001,44.269999999999996,1,3,4,3,4,0.35,28,0,1,0,0,0,0,0,0,0,3,0
6918313,477.99600000000027,4.451380000000003,102.29,2,5,7,4,5,0.3076923076923077,34,1,1,0,1,0,0,0,0,0,1,0
6918427,1219.61,6.298800000000016,366.86,10,16,40,2,2,0.6875,86,4,2,0,4,0,0,0,6,0,0,2
6918486,1214.6459999999984,3.4351000000000047,278.8,5,12,16,0,1,0.7619047619047619,86,0,4,0,11,0,0,0,0,0,0,0
6918493,378.4280000000001,3.515640000000003,81.54,1,5,7,3,3,0.22727272727272727,28,0,0,0,0,0,0,0,2,0,0,1
9552079,505.4580000000001,3.3366,177.58,6,2,9,2,2,0.2727272727272727,34,4,2,0,0,0,0,0,0,0,2,0
9578005,369.36800000000005,3.515220000000002,67.87,1,4,5,3,3,0.25,25,0,1,0,0,0,0,0,1,0,3,0
9588170,485.4940000000002,0.4700000000000014,177.41,3,9,5,2,4,0.47368421052631576,33,1,0,0,0,0,0,0,0,0,1,1
9800068,381.4690000000001,2.6684,118.3,4,5,7,1,2,0.6,27,0,0,0,0,0,0,1,0,0,0,2
9821849,391.5550000000001,5.9694000000000065,39.19,0,3,2,1,5,0.6153846153846154,29,0,0,1,0,0,0,0,1,0,0,0
9832912,639.8300000000003,5.728900000000008,116.04,2,9,3,0,5,0.6756756756756757,46,0,0,1,0,0,0,0,4,0,0,0
9837243,212.29299999999998,0.8989,63.400000000000006,1,2,5,0,1,0.8181818181818182,15,1,0,0,2,0,0,0,0,0,0,0
9838021,257.80499999999995,3.5053000000000023,23.47,1,2,5,1,1,0.5714285714285714,17,0,0,0,0,0,0,1,0,0,1,0
9844225,405.8780000000001,2.4104000000000005,65.07000000000001,0,6,2,1,5,0.5238095238095238,28,0,0,2,0,0,0,0,3,0,1,0
9849808,527.6580000000002,5.092900000000004,124.37000000000002,3,6,12,2,2,0.43333333333333335,38,0,0,1,0,0,0,0,1,0,0,2
9865528,396.51600000000013,2.7722,100.27,4,6,9,3,3,0.23809523809523808,28,1,2,0,1,0,0,0,0,0,0,0
9869929,483.96000000000026,2.4318000000000004,125.39,3,9,9,3,4,0.34782608695652173,34,0,2,0,1,0,0,0,1,0,1,0
9871419,522.5780000000003,2.0136999999999996,138.44,4,10,10,3,5,0.5652173913043478,36,0,1,0,0,0,0,0,1,0,2,0
9874560,667.9309999999999,9.187480000000003,107.62,2,6,5,1,8,0.6976744186046512,49,0,0,1,0,0,1,1,1,0,0,0
9875401,435.8890000000001,2.5199,88.18,1,6,5,2,4,0.3157894736842105,29,0,1,0,3,0,0,0,2,0,1,0
9883933,329.3930000000001,2.6830000000000007,101.92999999999999,2,5,7,0,1,0.8125,23,0,1,1,1,0,0,0,2,0,0,1
9913767,496.6330000000002,3.8980000000000032,101.49000000000001,1,7,12,3,3,0.34615384615384615,35,0,1,0,1,0,0,0,1,0,0,0
9918581,765.7420000000004,6.293200000000006,176.49999999999997,4,11,9,3,6,0.45454545454545453,50,0,1,0,1,0,0,0,0,0,2,3
9924495,349.39300000000003,4.438180000000004,58.68,0,3,3,4,4,0.0,27,0,0,0,0,0,0,0,0,0,0,0
9933004,441.9020000000001,2.7854000000000023,70.95,3,5,6,2,4,0.45454545454545453,30,0,1,0,0,0,0,0,2,0,3,0
9941095,925.4789999999999,8.622540000000003,215.08999999999997,4,12,13,7,7,0.16279069767441862,62,0,2,0,0,0,0,0,1,0,2,0
9989226,101.961,-1.118,85.5,0,0,0,0,0,0.0,5,0,0,0,0,0,0,0,0,0,0,0
